Company Name,Careers Website
8x8,https://8x8inc.wd5.myworkdayjobs.com/8x8_External_Careers
Arup,https://jobs.arup.com/jobs/search/14406563
Bank of Canada,https://careers.bankofcanada.ca/go/All-Job-Opportunities/2400817/?locale=en_US
Barracuda,https://www.barracuda.com/company/careers?location=Ottawa%252C%2520ON
BlackBerry QNX,https://bb.wd3.myworkdayjobs.com/BlackBerry/jobs?Country=a30a87ed25634629aa6c3958aa2b91ea
BluWave-AI,https://bluwaveai.applytojob.com/apply
CGI,https://cgi.njoyn.com/Corp/xweb/xweb.asp?NTKN=c&clid=21001&Page=joblisting
CIRA,https://cira.bamboohr.com/careers
CMHC,https://careers.cmhc-schl.gc.ca/search/?q=&sortColumn=referencedate&sortDirection=desc
CBNC,https://cbnco.com/careers/opportunities/
Ciena,https://ciena.wd5.myworkdayjobs.com/Careers?Location_Country=a30a87ed25634629aa6c3958aa2b91ea
Cisco,https://jobs.cisco.com/jobs/SearchJobs/?21178=%5B207800%5D&21178_format=6020&21180=%5B162%2C163%5D&21180_format=6022&21181=%5B186%2C194%2C187%2C197%5D&21181_format=6023&listFilterMode=1
Curtiss-Wright,https://curtisswright.wd1.myworkdayjobs.com/CW_External_Career_Site?locations=0acdecbb5c43100c6552746daf420000
Deloitte,https://careers.deloitte.ca/search/?createNewAlert=false&q=software&optionsFacetsDD_customfield5=&optionsFacetsDD_location=&optionsFacetsDD_customfield3=
EA,https://jobs.ea.com/en_US/careers/Home/?8171=%5B10577%5D&8171_format=5683&listFilterMode=1&jobRecordsPerPage=20&
Ericsson,https://jobs.ericsson.com/careers?start=0&location=Canada&pid=563121764675398&sort_by=distance&filter_include_remote=1
Field Effect,https://jobs.dayforcehcm.com/en-US/fieldeffect/CANDIDATEPORTAL?locationString=Canada&distance=15&locationId=1&locationType=2
Ford,https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?location=Ottawa%2C+ON%2C+Canada&locationId=100000032213830&locationLevel=city&mode=location&radius=25&radiusUnit=MI
Fortinet,https://edel.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/jobs?location=Ottawa%2C+ON%2C+Canada&locationId=100000000383219&locationLevel=city&mode=location&radius=25&radiusUnit=MI
Fullscript,https://fullscript.com/careers
